Rank 	Firm	AUM (Trillions USD)	CIK
1	BlackRock	$11.48	0001364742
2	Vanguard	$8.7	0000102909
3	Fidelity Investments	$3.88	0000357987
4	Capital Group	$2.5	N/A
5	Amundi	$2.26	N/A
6	Invesco	$1.8	0000914185
7	PIMCO	$1.8	N/A
8	Franklin Resources	$1.6	0000039823
9	T. Rowe Price	$1.52	0000083021
10	SEI Investments	$1.52	0000887664
